Block,Homogeneity,PrimeType,Target,Response,VerbClass,Item,List,Subject
A,Homogenous,Dispreferred,An old woman is giving a cake to an old man,0,Dative,13,1,9
F,Heterogeneous,Dispreferred,A woman is tossing a beachball to a patient,0,Dative,14,1,9
E,Homogenous,Preferred,A woman is showing a man a dress,1,Dative,15,1,9
G,Heterogeneous,Preferred,A woman is rubbing location on a baby,1,Locative,16,1,9
C,Homogenous,Preferred,A woman is reading some kids a book,0,Dative,17,1,9
H,Heterogeneous,Preferred,A priest is reading the class the bible,0,Dative,18,1,9
F,Heterogeneous,Preferred,A nurse is showing a boy his x-ray,1,Dative,19,1,9
A,Homogenous,Preferred,A nurse is handing a girl crutches,1,Dative,20,1,9
E,Heterogeneous,Dispreferred,A man is packing a cooler with beers,1,Locative,21,1,9
D,Heterogeneous,Preferred,A man is giving a little girl a gift,1,Dative,22,1,9
H,Homogenous,Dispreferred,A man is drizzling his nachos with cheese,1,Locative,23,1,9
D,Heterogeneous,Dispreferred,A guy is showing his ID to a bouncer,0,Dative,24,1,9
G,Heterogeneous,Dispreferred,A girl is sprinkling her soup with salt,1,Locative,25,1,9
B,Heterogeneous,Preferred,A girl is reading a little boy a book,0,Dative,26,1,9
B,Heterogeneous,Dispreferred,A girl is handing a paintbrush to a man,0,Dative,27,1,9
C,Homogenous,Dispreferred,A father is reading a book to his little girl,0,Dative,28,1,9
A,Heterogeneous,Dispreferred,A clown is cramming a box with his shoes,1,Locative,29,1,9
C,Heterogeneous,Preferred,A chef is brushing butter on a turkey,0,Locative,30,1,9
G,Homogenous,Dispreferred,A boy is throwing a baseball to a man,0,Dative,31,1,9
C,Heterogeneous,Dispreferred,A baker is dusting cake with powdered sugar,0,Locative,32,1,9
G,Homogenous,Preferred,The quarterback is throwing his reciever the football,1,Dative,2,2,10
C,Heterogeneous,Dispreferred,The mother is dabbing her daughter's cut with alcohol,0,Locative,3,2,10
C,Heterogeneous,Preferred,The man is scattering rose petals on the bed,1,Locative,4,2,10
D,Heterogeneous,Preferred,The lawyer is showing the judge the gun,1,Dative,5,2,10
G,Heterogeneous,Dispreferred,The girl is smearing her toast with jelly,1,Locative,6,2,10
F,Homogenous,Dispreferred,The elephant is spraying the clown with water,0,Locative,7,2,10
A,Heterogeneous,Dispreferred,the artist is splattering his canvas with paint,0,Locative,9,2,10
A,Heterogeneous,Preferred,Santa Claus is stuffing fruit into stocking,0,Locative,11,2,10
E,Heterogeneous,Preferred,men are loading toxic waste on a truck,1,Locative,12,2,10
B,Heterogeneous,Preferred,An old woman is giving an old man a cake,1,Dative,13,2,10
G,Homogenous,Dispreferred,A woman is tossing a beachball to a patient,1,Dative,14,2,10
F,Heterogeneous,Dispreferred,A woman is showing a dress to a man,1,Dative,15,2,10
D,Homogenous,Preferred,A woman is rubbing lotion on a baby,1,Locative,16,2,10
H,Heterogeneous,Dispreferred,A woman is reading a book to some kids,0,Dative,17,2,10
C,Homogenous,Dispreferred,A priest is reading the bible to the class,1,Dative,18,2,10
E,Homogenous,Dispreferred,A nurse is showing his x-ray to a boy,1,Dative,19,2,10
D,Heterogeneous,Dispreferred,A nurse is handing  crutches to a girl,1,Dative,20,2,10
B,Homogenous,Preferred,A man is packing beers in a cooler,0,Locative,21,2,10
A,Homogenous,Dispreferred,A man is giving a gift to a little girl,1,Dative,22,2,10
G,Heterogeneous,Preferred,A man is drizzling cheese on his nachos,1,Locative,23,2,10
E,Homogenous,Preferred,A guy is showing a bouncer his ID,1,Dative,24,2,10
H,Homogenous,Preferred,A girl is sprinkling salt on her soup,1,Locative,25,2,10
C,Homogenous,Preferred,A girl is reading a little boy a book,1,Dative,26,2,10
A,Homogenous,Preferred,A girl is handing a man a paintbrush,1,Dative,27,2,10
