"Subject" "AbsTrial" "List" "CardSet" "VerbCat" "Confusable." "TargBinary" "PTnumeric" "VerbClass" "Item" "PrimeType" "Homogeneity"
"150" 7 314 7 4 "put" 0 1 0 "Locative" 28 "dispreferred" "Heterogenous"
"151" 7 315 7 4 "throw" 1 1 0 "Dative" 20 "dispreferred" "Homogenous"
"152" 7 317 7 4 "rub" 0 1 1 "Locative" 31 "preferred" "Heterogenous"
"153" 7 320 7 4 "spray" 0 1 0 "Locative" 41 "dispreferred" "Heterogenous"
"154" 7 321 7 4 "throw" 1 1 1 "Dative" 22 "preferred" "Homogenous"
"155" 7 327 7 4 "give" 0 1 1 "Dative" 4 "preferred" "Heterogenous"
"156" 7 328 7 4 "sprinkle" 1 1 1 "Locative" 47 "preferred" "Homogenous"
"157" 7 330 7 4 "read" 0 0 1 "Dative" 7 "preferred" "Heterogenous"
"158" 7 333 7 4 "show" 0 0 0 "Dative" 15 "dispreferred" "Heterogenous"
"159" 8 337 8 4 "read" 1 0 1 "Dative" 9 "preferred" "Homogenous"
"160" 8 339 8 4 "rub" 0 1 0 "Locative" 32 "dispreferred" "Heterogenous"
"161" 8 340 8 4 "read" 1 1 1 "Dative" 10 "preferred" "Homogenous"
"162" 8 343 8 4 "read" 1 0 0 "Dative" 11 "dispreferred" "Homogenous"
"163" 8 345 8 4 "sprinkle" 0 1 1 "Locative" 44 "preferred" "Heterogenous"
"164" 8 349 8 4 "read" 0 0 0 "Dative" 8 "dispreferred" "Heterogenous"
"165" 8 352 8 4 "give" 0 0 0 "Dative" 3 "dispreferred" "Heterogenous"
"166" 8 355 8 4 "throw" 0 1 1 "Dative" 19 "preferred" "Heterogenous"
"167" 8 356 8 4 "rub" 1 1 0 "Locative" 35 "dispreferred" "Homogenous"
"168" 8 358 8 4 "show" 0 1 1 "Dative" 16 "preferred" "Heterogenous"
"169" 8 362 8 4 "put" 0 1 1 "Locative" 28 "preferred" "Heterogenous"
"170" 8 365 8 4 "rub" 0 1 0 "Locative" 31 "dispreferred" "Heterogenous"
"171" 8 368 8 4 "spray" 0 0 1 "Locative" 41 "preferred" "Heterogenous"
"172" 8 369 8 4 "throw" 1 1 0 "Dative" 22 "dispreferred" "Homogenous"
"173" 8 371 8 4 "sprinkle" 0 1 0 "Locative" 43 "dispreferred" "Heterogenous"
"174" 8 373 8 4 "sprinkle" 1 1 0 "Locative" 45 "dispreferred" "Homogenous"
"175" 8 375 8 4 "give" 0 0 0 "Dative" 4 "dispreferred" "Heterogenous"
"176" 8 376 8 4 "sprinkle" 1 0 0 "Locative" 47 "dispreferred" "Homogenous"
"177" 8 378 8 4 "read" 0 0 0 "Dative" 7 "dispreferred" "Heterogenous"
"178" 8 379 8 4 "sprinkle" 1 1 1 "Locative" 46 "preferred" "Homogenous"
"179" 8 381 8 4 "show" 0 1 1 "Dative" 15 "preferred" "Heterogenous"
"180" 9 385 1 1 "give" 1 0 0 "Dative" 1 "dispreferred" "Homogenous"
"181" 9 388 1 1 "give" 1 0 0 "Dative" 2 "dispreferred" "Homogenous"
"182" 9 391 1 1 "give" 1 0 1 "Dative" 3 "preferred" "Homogenous"
"183" 9 393 1 1 "spray" 0 0 1 "Locative" 39 "preferred" "Heterogenous"
"184" 9 394 1 1 "give" 1 1 1 "Dative" 4 "preferred" "Homogenous"
"185" 9 397 1 1 "give" 0 1 0 "Dative" 5 "dispreferred" "Heterogenous"
"186" 9 400 1 1 "read" 0 1 1 "Dative" 9 "preferred" "Heterogenous"
"187" 9 407 1 1 "put" 1 1 0 "Locative" 28 "dispreferred" "Homogenous"
"188" 9 411 1 1 "show" 1 0 1 "Dative" 13 "preferred" "Homogenous"
"189" 9 414 1 1 "show" 1 0 1 "Dative" 14 "preferred" "Homogenous"
"190" 9 416 1 1 "sprinkle" 0 1 1 "Locative" 47 "preferred" "Heterogenous"
"191" 9 417 1 1 "show" 1 0 0 "Dative" 16 "dispreferred" "Homogenous"
"192" 9 419 1 1 "spray" 0 1 0 "Locative" 38 "dispreferred" "Heterogenous"
"193" 9 420 1 1 "show" 1 0 0 "Dative" 15 "dispreferred" "Homogenous"
"194" 9 421 1 1 "spray" 1 0 1 "Locative" 42 "preferred" "Homogenous"
"195" 9 423 1 1 "read" 0 1 0 "Dative" 10 "dispreferred" "Heterogenous"
"196" 9 424 1 1 "spray" 1 0 1 "Locative" 40 "preferred" "Homogenous"
"197" 9 426 1 1 "give" 0 1 1 "Dative" 6 "preferred" "Heterogenous"
"198" 9 427 1 1 "spray" 1 0 0 "Locative" 41 "dispreferred" "Homogenous"
"199" 9 429 1 1 "throw" 0 1 0 "Dative" 20 "dispreferred" "Heterogenous"
"200" 9 432 1 1 "show" 0 1 1 "Dative" 18 "preferred" "Heterogenous"
"201" 10 433 2 1 "give" 1 0 1 "Dative" 1 "preferred" "Homogenous"
"202" 10 436 2 1 "give" 1 0 1 "Dative" 2 "preferred" "Homogenous"
"203" 10 439 2 1 "give" 1 0 0 "Dative" 3 "dispreferred" "Homogenous"
"204" 10 442 2 1 "give" 1 0 0 "Dative" 4 "dispreferred" "Homogenous"
"205" 10 445 2 1 "give" 0 0 1 "Dative" 5 "preferred" "Heterogenous"
"206" 10 448 2 1 "read" 0 0 0 "Dative" 9 "dispreferred" "Heterogenous"
"207" 10 459 2 1 "show" 1 0 0 "Dative" 13 "dispreferred" "Homogenous"
"208" 10 462 2 1 "show" 1 0 0 "Dative" 14 "dispreferred" "Homogenous"
"209" 10 464 2 1 "sprinkle" 0 1 0 "Locative" 47 "dispreferred" "Heterogenous"
"210" 10 465 2 1 "show" 1 0 1 "Dative" 16 "preferred" "Homogenous"
"211" 10 468 2 1 "show" 1 0 1 "Dative" 15 "preferred" "Homogenous"
"212" 10 469 2 1 "spray" 1 0 0 "Locative" 42 "dispreferred" "Homogenous"
"213" 10 472 2 1 "spray" 1 0 0 "Locative" 40 "dispreferred" "Homogenous"
"214" 10 474 2 1 "give" 0 0 0 "Dative" 6 "dispreferred" "Heterogenous"
"215" 10 475 2 1 "spray" 1 0 1 "Locative" 41 "preferred" "Homogenous"
"216" 10 477 2 1 "throw" 0 1 1 "Dative" 20 "preferred" "Heterogenous"
"217" 10 478 2 1 "spray" 1 1 1 "Locative" 37 "preferred" "Homogenous"
"218" 11 490 3 2 "read" 1 1 0 "Dative" 10 "dispreferred" "Homogenous"
"219" 11 493 3 2 "read" 0 0 1 "Dative" 12 "preferred" "Heterogenous"
"220" 11 496 3 2 "give" 0 1 1 "Dative" 3 "preferred" "Heterogenous"
