"","subject","trial","isi","lexicality","prime","target","accuracy","RT","rel"
"6817",5,761,1050,1,"PIOUS","secret",1,356,"un"
"6818",18,231,1050,1,"REGRET","speed",1,356,"un"
"6819",26,134,1050,1,"PASTA","big",1,356,"un"
"6822",47,257,50,1,"UNCONSCIOUS","live",1,356,"un"
"6834",5,439,1050,1,"BIG","grand",1,356,"rel"
"6835",14,83,1050,1,"EVIL","nice",1,356,"rel"
"6836",18,318,1050,1,"PRICELESS","valuable",1,356,"rel"
"6837",26,192,1050,1,"TRAIN","station",1,356,"rel"
"6838",36,68,1050,1,"HUSTLE","fast",1,356,"rel"
"6857",16,123,1050,1,"SACK","bag",1,356,"rel"
"6858",26,599,50,1,"HERE","there",1,356,"rel"
"6904",18,464,50,1,"DEFENSE","poem",1,357,"un"
"6936",20,183,1050,1,"SHOW","tell",1,357,"rel"
"6981",5,552,1050,1,"ARMY","allow",1,358,"un"
"7001",18,386,1050,1,"ADVISE","advice",1,358,"rel"
"7002",20,410,1050,1,"STEAL","beg",1,358,"rel"
"7003",26,209,1050,1,"GYMNAST","tumble",1,358,"rel"
"7011",26,83,1050,1,"MONDAY","tuesday",1,358,"rel"
"7012",26,283,1050,1,"OUCH","hurt",1,358,"rel"
"7013",26,399,1050,1,"TARZAN","jane",1,358,"rel"
"7014",42,178,1050,1,"CHANCE","luck",1,358,"rel"
"7015",42,208,1050,1,"PROOF","evidence",1,358,"rel"
"7045",26,229,1050,1,"FOLLOW","lend",1,359,"un"
"7067",2,793,50,1,"INTERRUPT","up",1,359,"un"
"7080",5,471,1050,1,"BANQUET","eat",1,359,"rel"
"7081",18,95,1050,1,"BACKWARD","movement",1,359,"rel"
"7082",18,567,50,1,"BROWN","color",1,359,"rel"
"7083",26,23,1050,1,"REMIND","remember",1,359,"rel"
"7103",2,153,1050,1,"ROAST","beef",1,359,"rel"
"7105",42,467,50,1,"SUB","sandwich",1,359,"rel"
"7106",42,150,1050,1,"CORRIDOR","hall",1,359,"rel"
"7138",18,694,50,1,"SPELL","feet",1,360,"un"
"7153",18,402,1050,1,"HOMEWORK","father",1,360,"un"
"7154",36,66,1050,1,"ROBE","most",0,360,"un"
"7155",47,380,50,1,"DRILL","change",1,360,"un"
"7163",32,92,1050,1,"TRANQUIL","easy",1,360,"rel"
"7182",26,234,1050,1,"DEFEND","protect",1,360,"rel"
"7183",26,323,1050,1,"BIKE","ride",1,360,"rel"
"7234",18,209,1050,1,"OVERCOME","nothing",1,361,"un"
"7335",18,268,1050,1,"EXACT","east",1,362,"un"
"7354",18,98,1050,1,"FAITH","jesus",1,362,"rel"
"7356",33,169,50,1,"CARPENTER","hammer",1,362,"rel"
"7383",16,590,50,1,"BLEACH","white",1,362,"rel"
"7384",18,149,1050,1,"CONSTRUCTION","build",1,362,"rel"
"7386",33,645,1050,1,"OUT","in",1,362,"rel"
"7417",15,1,50,1,"CHEAP","auto",1,363,"un"
"7418",33,170,50,1,"BANQUET","less",1,363,"un"
"7443",18,615,50,1,"COMMUNIST","answer",1,363,"un"
"7444",26,35,1050,1,"COD","cans",1,363,"un"
"7445",26,184,1050,1,"WEIRD","spoon",1,363,"un"
"7465",26,750,50,1,"GRAB","bag",1,363,"rel"
"7479",26,177,1050,1,"HANDLE","care",1,363,"rel"
"7480",26,166,1050,1,"CONSTITUTION","rights",1,363,"rel"
"7481",33,117,50,1,"MAKE","do",1,363,"rel"
"7515",16,588,50,1,"BELL","army",1,364,"un"
"7516",18,461,50,1,"ANNOUNCE","sorrow",1,364,"un"
"7518",26,34,1050,1,"TIMES","sand",1,364,"un"
"7519",47,382,50,1,"COLD","cover",1,364,"un"
"7561",2,369,1050,1,"NUCLEAR","bomb",1,364,"rel"
"7562",15,176,50,1,"TREES","big",1,364,"rel"
"7563",26,268,1050,1,"KEYS","chain",1,364,"rel"
"7590",10,38,1050,1,"HALT","stop",1,364,"rel"
"7592",26,441,50,1,"EMOTION","feeling",1,364,"rel"
"7620",3,287,50,1,"JUSTICE","rose",1,365,"un"
"7622",47,43,50,1,"CLIFF","angel",1,365,"un"
"7642",18,202,1050,1,"BEG","low",1,365,"un"
"7643",26,69,1050,1,"PROVERB","silly",1,365,"un"
"7661",16,800,50,1,"TRADE","wind",1,365,"rel"
"7686",5,387,50,1,"GIGGLE","laugh",1,365,"rel"
"7687",42,228,1050,1,"WINDOW","glass",1,365,"rel"
"7710",18,630,50,1,"METAL","problem",1,366,"un"
"7725",18,278,1050,1,"FLAG","honor",1,366,"un"
"7726",26,94,1050,1,"CRISP","zoo",1,366,"un"
"7754",18,304,1050,1,"MONTHLY","annually",1,366,"rel"
"7776",5,214,50,1,"CONFUSION","lost",1,366,"rel"
"7777",16,493,50,1,"CUT","blood",1,366,"rel"
"7778",26,540,50,1,"SLOB","messy",1,366,"rel"
"7779",33,172,50,1,"FINISHED","done",1,366,"rel"
"7780",33,733,1050,1,"SOCK","shoe",1,366,"rel"
"7781",42,196,1050,1,"ALLOW","let",1,366,"rel"
"7809",16,290,1050,1,"PERSUADE","war",1,367,"un"
"7810",16,792,50,1,"BELLY","drop",1,367,"un"
"7827",26,28,1050,1,"HAND","necklace",1,367,"un"
"7828",42,304,1050,1,"GOING","security",1,367,"un"
"7863",5,554,1050,1,"BEANS","rice",1,367,"rel"
"7864",26,180,1050,1,"WOMEN","men",1,367,"rel"
"7865",42,28,1050,1,"ARMY","navy",1,367,"rel"
"7893",5,454,1050,1,"CREW","start",1,368,"un"
"7894",16,112,1050,1,"PHYSICIAN","sweet",1,368,"un"
"7895",18,336,1050,1,"SHADE","orange",1,368,"un"
"7896",18,423,50,1,"EXCUSE","camera",1,368,"un"
"7897",26,98,1050,1,"DISGUISE","bush",1,368,"un"
"7916",26,377,1050,1,"CALENDAR","cat",1,368,"un"
"7929",5,365,50,1,"PUMP","tire",1,368,"rel"
"7930",16,243,1050,1,"MALE","man",1,368,"rel"
"7931",19,52,50,1,"LET","do",1,368,"rel"
"7951",18,648,50,1,"SPEED","fast",1,368,"rel"
"7952",26,95,1050,1,"MEASUREMENT","ruler",1,368,"rel"
"7953",42,506,50,1,"HALF","whole",1,368,"rel"
"7976",18,127,1050,1,"OWE","many",1,369,"un"
"7999",5,820,1050,1,"COKE","thanks",1,369,"un"
"8000",18,578,50,1,"AFTER","sunset",1,369,"un"
"8019",26,112,1050,1,"PIT","hell",1,369,"rel"
"8021",42,428,50,1,"BELT","strap",1,369,"rel"
"8054",16,603,50,1,"TRICK","treat",1,369,"rel"
"8091",18,745,50,1,"EXPENSE","can",1,370,"un"
"8139",26,367,1050,1,"TASTY","treat",1,370,"rel"
"8140",42,525,50,1,"ATTENDANCE","present",1,370,"rel"
"8141",42,210,1050,1,"BUDGET","plan",1,370,"rel"
"8163",18,147,1050,1,"BEAN","green",1,370,"rel"
"8164",26,567,50,1,"ADVENTUROUS","daring",1,370,"rel"
"8208",26,73,1050,1,"STICK","sunday",1,371,"un"
"8237",26,185,1050,1,"DEVIL","club",1,371,"un"
"8238",26,474,50,1,"MARK","late",1,371,"un"
"8265",5,9,50,1,"STAIRWAY","stairs",1,371,"rel"
"8266",8,454,50,1,"BULLY","rough",1,371,"rel"
"8268",18,486,50,1,"SHORE","line",1,371,"rel"
"8298",18,324,1050,1,"EMERGENCY","ambulance",1,371,"rel"
"8299",18,492,50,1,"HALT","stop",1,371,"rel"
"8300",26,418,50,1,"DROP","fall",1,371,"rel"
"8301",36,131,1050,1,"MOONLIGHT","night",1,371,"rel"
"8338",5,548,1050,1,"APE","all",1,372,"un"
"8339",26,43,1050,1,"RESPONSE","girl",1,372,"un"
"8373",18,301,1050,1,"STUB","same",1,372,"un"
"8417",2,106,1050,1,"SOFA","bed",1,372,"rel"
"8418",5,143,50,1,"STUCK","mud",1,372,"rel"
"8419",26,462,50,1,"DOWNTOWN","busy",1,372,"rel"
"8420",44,437,50,1,"RIDER","cowboy",1,372,"rel"
"8461",18,123,1050,1,"GENEROUS","give",1,372,"rel"
"8462",18,778,50,1,"PRINCE","princess",1,372,"rel"
"8496",16,823,50,1,"PATIENT","me",1,373,"un"
"8521",5,339,50,1,"CONTRACT","bat",1,373,"un"
"8522",9,159,50,1,"PARK","tax",1,373,"un"
"8524",42,421,50,1,"TAXI","shoes",1,373,"un"
"8548",16,657,50,1,"BOOT","camp",1,373,"rel"
"8550",18,514,50,1,"DRAGON","queen",1,373,"rel"
"8551",26,202,1050,1,"INNOCENT","virgin",1,373,"rel"
"8552",42,209,1050,1,"REPLY","speak",1,373,"rel"
"8582",16,307,1050,1,"GUN","shoot",1,373,"rel"
"8583",18,326,1050,1,"CONNECT","dots",1,373,"rel"
"8584",18,489,50,1,"AWARENESS","alert",1,373,"rel"
"8585",20,239,1050,1,"WELCOME","home",1,373,"rel"
"8633",44,202,1050,1,"VESSEL","fudge",1,374,"un"
"8663",42,133,1050,1,"DOOR","funny",1,374,"un"
"8682",26,332,1050,1,"CHORUS","song",1,374,"rel"
"8711",18,95,1050,1,"SPRAIN","ankle",1,374,"rel"
"8713",26,179,1050,1,"SPRAIN","ankle",1,374,"rel"
"8759",26,498,50,1,"RESERVATION","skill",1,375,"un"
"8760",26,44,1050,1,"CHARGE","safe",1,375,"un"
"8761",27,280,50,1,"RELIGIOUS","lost",1,375,"un"
"8786",26,6,1050,1,"LOWER","chew",1,375,"un"
"8787",26,79,1050,1,"EXPLORER","power",1,375,"un"
"8788",36,638,50,1,"TOMB","cave",1,375,"un"
"8817",18,71,1050,1,"CHEAT","fail",1,375,"rel"
"8818",33,542,1050,1,"RUMOR","talk",1,375,"rel"
"8853",18,743,50,1,"WINDOW","glass",1,375,"rel"
"8854",20,419,50,1,"GLASS","window",1,375,"rel"
"8855",42,29,1050,1,"REFLECTION","mirror",1,375,"rel"
"8856",42,417,50,1,"FITNESS","healthy",1,375,"rel"
"8857",44,18,1050,1,"DAWN","dusk",1,375,"rel"
"8858",47,52,50,1,"TREE","leaf",1,375,"rel"
"8892",16,573,50,1,"WARNING","cop",1,376,"un"
"8893",18,87,1050,1,"SWEAR","pencil",1,376,"un"
"8921",26,294,1050,1,"FAST","friend",1,376,"un"
"8946",7,495,1050,1,"BROKEN","fix",1,376,"rel"
"8948",18,439,50,1,"FRUSTRATION","anxiety",1,376,"rel"
"8950",18,693,50,1,"LAWSUIT","law",1,376,"rel"
"8951",20,76,1050,1,"SEE","hear",1,376,"rel"
"8972",2,280,1050,1,"QUACK","duck",1,376,"rel"
"8973",11,46,50,1,"KIDNEY","bean",1,376,"rel"
