Subject	Trial	TargBinary	ExpCond	PrimeCategory	PrimeType
62	45.gif	1	Different	Dative	Prime_A
62	66.gif	0	Different	Locative	Prime_B
62	25.gif	1	Different	Transitive	Prime_B
62	52.gif	0	Different	Dative	Prime_A
62	28.gif	1	Different	Transitive	Prime_A
62	82.gif	0	Different	Dative	Prime_A
62	78.gif	0	Different	Locative	Prime_B
62	68.gif	0	Different	Dative	Prime_B
62	74.gif	1	Different	Locative	Prime_A
62	40.gif	0	Different	Transitive	Prime_A
62	34.gif	1	Different	Dative	Prime_B
62	104.gif	1	Different	Locative	Prime_A
62	32.gif	1	Different	Transitive	Prime_B
62	84.gif	0	Different	Dative	Prime_A
62	70.gif	1	Different	Locative	Prime_B
62	36.gif	0	Different	Transitive	Prime_B
62	T4.gif	0	Same	Dative	Prime_B
62	109.gif	1	Same	Locative	Prime_B
62	38.gif	1	Same	Transitive	Prime_B
62	44.gif	0	Same	Dative	Prime_A
62	1.gif	1	Same	Transitive	Prime_B
62	T11.gif	1	Same	Dative	Prime_A
62	108.gif	0	Same	Locative	Prime_B
62	93.gif	1	Same	Transitive	Prime_A
62	43.gif	0	Same	Dative	Prime_B
62	81.gif	0	Same	Locative	Prime_A
62	57.gif	1	Same	Transitive	Prime_A
63	29.gif	0	Different	Transitive	Prime_B
63	6.gif	0	Different	Transitive	Prime_B
63	33.gif	0	Different	Dative	Prime_B
63	19.gif	1	Different	Transitive	Prime_A
63	90.gif	1	Different	Dative	Prime_A
63	22.gif	0	Different	Transitive	Prime_A
63	26.gif	0	Different	Dative	Prime_B
63	28.gif	0	Same	Transitive	Prime_A
63	13.gif	1	Same	Locative	Prime_A
63	52.gif	0	Same	Dative	Prime_A
63	25.gif	0	Same	Transitive	Prime_B
63	66.gif	0	Same	Locative	Prime_B
63	45.gif	1	Same	Dative	Prime_A
63	30.gif	0	Same	Transitive	Prime_A
63	114.gif	1	Same	Locative	Prime_B
63	T6.gif	1	Same	Dative	Prime_B
63	37.gif	1	Same	Transitive	Prime_B
63	15.gif	0	Same	Locative	Prime_A
63	51.gif	0	Same	Dative	Prime_B
63	36.gif	0	Same	Transitive	Prime_B
63	70.gif	0	Same	Locative	Prime_B
