Subject	Item	CardTyp	PrimeType	TargBinary	VerbClass
17	10	Same	Prime_B	1	Transitive
17	12	Diff	Prime_B	0	Dative
17	13	Diff	Prime_A	1	Transitive
17	15	Same	Prime_A	1	Dative
17	16	Diff	Prime_B	1	Transitive
17	20	Diff	Prime_A	1	Locative
17	21	Diff	Prime_A	1	Dative
17	22	Same	Prime_B	1	Transitive
17	23	Same	Prime_B	1	Locative
17	25	Diff	Prime_A	1	Transitive
17	26	Same	Prime_A	1	Locative
17	27	Same	Prime_A	1	Dative
17	28	Diff	Prime_B	1	Transitive
17	29	Diff	Prime_B	1	Locative
17	30	Same	Prime_B	1	Dative
17	34	Same	Prime_B	1	Transitive
17	35	Same	Prime_B	1	Locative
17	36	Diff	Prime_B	1	Dative
17	37	Diff	Prime_A	0	Transitive
17	38	Same	Prime_A	1	Locative
17	39	Same	Prime_A	1	Dative
17	40	Diff	Prime_B	0	Transitive
17	42	Same	Prime_B	1	Dative
17	43	Same	Prime_A	1	Transitive
17	46	Same	Prime_B	1	Transitive
17	47	Same	Prime_B	1	Locative
17	48	Diff	Prime_B	1	Dative
18	1	Same	Prime_A	1	Transitive
18	5	Same	Prime_B	0	Locative
18	6	Diff	Prime_B	0	Dative
18	7	Diff	Prime_A	1	Transitive
18	9	Same	Prime_A	0	Dative
18	10	Diff	Prime_B	1	Transitive
18	12	Same	Prime_B	0	Dative
18	13	Same	Prime_A	0	Transitive
18	15	Diff	Prime_A	1	Dative
18	16	Same	Prime_B	0	Transitive
18	18	Diff	Prime_B	0	Dative
18	19	Diff	Prime_A	1	Transitive
18	20	Same	Prime_A	0	Locative
18	21	Same	Prime_A	0	Dative
18	22	Diff	Prime_B	1	Transitive
18	23	Diff	Prime_B	1	Locative
18	24	Same	Prime_B	1	Dative
18	25	Same	Prime_A	1	Transitive
18	27	Diff	Prime_A	0	Dative
18	28	Same	Prime_B	0	Transitive
18	29	Same	Prime_B	1	Locative
18	30	Diff	Prime_B	0	Dative
18	31	Diff	Prime_A	1	Transitive
18	33	Same	Prime_A	0	Dative
18	34	Diff	Prime_B	0	Transitive
18	35	Diff	Prime_B	1	Locative
18	36	Same	Prime_B	1	Dative
18	37	Same	Prime_A	1	Transitive
18	39	Diff	Prime_A	1	Dative
18	40	Same	Prime_B	0	Transitive
18	41	Same	Prime_B	1	Locative
18	42	Diff	Prime_B	1	Dative
18	43	Diff	Prime_A	1	Transitive
18	44	Same	Prime_A	1	Locative
18	46	Diff	Prime_B	1	Transitive
18	48	Same	Prime_B	1	Dative
19	1	Same	Prime_A	1	Transitive
19	4	Same	Prime_B	1	Transitive
19	5	Same	Prime_B	1	Locative
19	6	Diff	Prime_B	1	Dative
19	7	Diff	Prime_A	1	Transitive
19	8	Same	Prime_A	1	Locative
19	9	Same	Prime_A	1	Dative
19	10	Diff	Prime_B	1	Transitive
19	12	Same	Prime_B	1	Dative
19	13	Same	Prime_A	1	Transitive
19	15	Diff	Prime_A	1	Dative
19	16	Same	Prime_B	1	Transitive
19	18	Diff	Prime_B	0	Dative
19	20	Same	Prime_A	0	Locative
19	21	Same	Prime_A	0	Dative
19	22	Diff	Prime_B	1	Transitive
19	24	Same	Prime_B	0	Dative
19	25	Same	Prime_A	0	Transitive
19	27	Diff	Prime_A	0	Dative
19	28	Same	Prime_B	1	Transitive
19	29	Same	Prime_B	1	Locative
19	30	Diff	Prime_B	1	Dative
19	33	Same	Prime_A	0	Dative
19	34	Diff	Prime_B	1	Transitive
19	35	Diff	Prime_B	1	Locative
19	36	Same	Prime_B	1	Dative
19	37	Same	Prime_A	0	Transitive
19	39	Diff	Prime_A	1	Dative
19	40	Same	Prime_B	0	Transitive
19	42	Diff	Prime_B	0	Dative
19	43	Diff	Prime_A	1	Transitive
19	45	Same	Prime_A	0	Dative
19	46	Diff	Prime_B	1	Transitive
20	1	Diff	Prime_A	1	Transitive
20	2	Same	Prime_A	1	Locative
20	5	Diff	Prime_B	1	Locative
